#BLTrackFile test
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
22.591 7.69829 0.305651 0 0 0 0.143572 13 221 1 0 1 
1.5874 21.7524 0.336334 0 0 0 0.13735 13 222 1 0 1 
16.367 10.206 0.362407 0 0 0 0.131702 13 223 1 0 1 
-16.6661 18.6842 0.3193 0 0 0 0.141547 13 224 1 0 1 
8.16812 10.4156 0.336897 0 0 0 0.137231 13 225 1 0 1 
-2.22038 29.2395 0.311718 0 0 0 0.143503 13 226 1 0 1 
10.6237 -38.8278 0.340019 0 0 0 0.137187 13 227 1 0 1 
-6.15139 9.41702 0.31791 0 0 0 0.137434 13 228 1 0 1 
5.91885 -12.771 0.305643 0 0 0 0.144113 13 229 1 0 1 
-27.1184 -12.7307 0.30936 0 0 0 0.141957 13 230 1 0 1 
3.1879 -29.3949 0.307029 0 0 0 0.14221 13 231 1 0 1 
-7.44954 -2.91217 0.322697 0 0 0 0.140897 13 232 1 0 1 
2.9127 -7.6322 0.298137 0 0 0 0.145345 13 233 1 0 1 
13.5759 22.5024 0.344418 0 0 0 0.136043 13 234 1 0 1 
-10.563 3.2502 0.301989 0 0 0 0.144021 13 235 1 0 1 
2.03388 -12.569 0.325439 0 0 0 0.141121 13 236 1 0 1 
-6.14703 -3.74544 0.276224 0 0 0 0.149505 13 237 1 0 1 
-2.38293 -24.1205 0.330175 0 0 0 0.139053 13 238 1 0 1 
25.8748 -5.00586 0.318475 0 0 0 0.138795 13 239 1 0 1 
-6.80572 13.3261 0.336536 0 0 0 0.137746 13 240 1 0 1 
5.54228 -12.184 0.375382 0 0 0 0.130719 13 241 1 0 1 
-4.95672 9.78521 0.300571 0 0 0 0.143952 13 242 1 0 1 
-4.70347 5.66969 0.363963 0 0 0 0.132979 13 243 1 0 1 
5.88804 -15.6827 0.365597 0 0 0 0.132559 13 244 1 0 1 
-28.5939 7.69073 0.333394 0 0 0 0.137014 13 245 1 0 1 
21.4458 8.99868 0.307213 0 0 0 0.137977 13 246 1 0 1 
-20.4134 0.76604 0.317418 0 0 0 0.142113 13 247 1 0 1 
-17.4655 -15.0831 0.342039 0 0 0 0.137261 13 248 1 0 1 
7.77056 22.4971 0.346076 0 0 0 0.134515 13 249 1 0 1 
12.6365 -34.5178 0.305084 0 0 0 0.143221 13 250 1 0 1 
-0.470223 -6.55304 0.341378 0 0 0 0.136361 13 251 1 0 1 
-16.332 -20.6622 0.334315 0 0 0 0.137608 13 252 1 0 1 
11.3175 6.03641 0.354327 0 0 0 0.133575 13 253 1 0 1 
21.5759 5.42227 0.320862 0 0 0 0.141544 13 254 1 0 1 
1.61823 -10.2486 0.352584 0 0 0 0.13362 13 255 1 0 1 
-15.2968 -1.00619 0.358538 0 0 0 0.133893 13 256 1 0 1 
